Gene,pval,qval
Esr1,0.000592609,0.002051394
Mx1,0.000592594,0.002051394
Btbd6,0.000594528,0.002057621
Mthfd1l,0.000596928,0.00206551
Crip1,0.000598689,0.002071186
Gm14403,0.000599608,0.002073947
RP24-372I24.4,0.000603126,0.002085304
Zfp867,0.000603135,0.002085304
Hesx1,0.000603594,0.002086472
2310007L24Rik,0.000604105,0.002087815
Ttll5,0.000604766,0.00208968
Caskin2,0.000604944,0.002089873
Ehd2,0.000607142,0.002097044
Hic2,0.000609482,0.002104702
Xkr5,0.000612225,0.002113748
Mmp28,0.000613316,0.00211709
Sec22c,0.000618358,0.002134064
Nfe2,0.000620129,0.002139744
Prdm10,0.00062041,0.002140284
Ighmbp2,0.000621108,0.002142261
RP23-411B11.2,0.000621662,0.00214374
Sept4,0.000623547,0.002149808
Bcl9,0.000625582,0.002156388
Gm17315,0.00062639,0.002158742
1700061G19Rik,0.000628045,0.002164011
Slc5a10,0.000629005,0.002166881
2610316D01Rik,0.00063173,0.00217583
Sart3,0.000632842,0.002179225
Ms4a4c,0.000633331,0.002180469
Ttpal,0.000635707,0.002188211
Tmsb15l,0.000636296,0.002189799
Zfp599,0.000636736,0.002190874
Enpp3,0.000639958,0.002201518
Lifr,0.000640274,0.002202162
Folh1,0.000640557,0.002202695
Ftx,0.000640849,0.002203256
Hunk,0.000641423,0.002204786
Prkar2b,0.000641705,0.002205315
Tac4,0.00064544,0.002217707
Tmem100,0.000648308,0.002227113
Gm7676,0.000649035,0.002229165
AC118721.1,0.000649995,0.002232013
E2f2,0.000650415,0.002233008
Gm17364,0.000650824,0.002233964
Myot,0.000651626,0.002236271
Gla,0.000651785,0.00223637
2010300C02Rik,0.000653365,0.002241278
Gm4353,0.000653477,0.002241278
Atg14,0.000655621,0.00224818
Scaf1,0.00065635,0.002249782
Atcayos,0.000656415,0.002249782
Clip4,0.000656482,0.002249782
Nmral1,0.000657297,0.002252125
4930512B01Rik,0.000660887,0.002263975
Slc25a53,0.000664123,0.002274605
Crat,0.00066547,0.002278762
Maml3,0.000665994,0.00227919
Zkscan7,0.000665885,0.00227919
Mss51,0.000665928,0.00227919
